term,beta_1se_halfand10,beta_min_halfand10,beta_1se_1and10,beta_min_1and10,beta_1se_1and20,beta_min_1and20,beta_1se_Tracts_half,beta_min_Tracts_half,beta_1se_Tracts1,beta_min_Tracts1
Urban1:CensusTract36055008600,0,0,0,0,2.0402291231287444e-4,2.0402291231287444e-4,0,0,2.0402291231287444e-4,2.0402291231287444e-4
Urban1:CensusTract36055010200,0,0,0,0,2.3754660590717623e-4,2.3754660590717623e-4,0,0,2.3754660590717623e-4,2.3754660590717623e-4
Urban1:CensusTract36055011207,0,0,0,0,2.2301299045334713e-4,2.2301299045334713e-4,0,0,2.2301299045334713e-4,2.2301299045334713e-4
Urban1:CensusTract36055011708,0,0,0,0,2.419898789908667e-4,2.419898789908667e-4,0,0,2.419898789908667e-4,2.419898789908667e-4
Urban1:CensusTract36055011902,0,0,0,0,2.0267944652118137e-4,2.0267944652118137e-4,0,0,2.0267944652118137e-4,2.0267944652118137e-4
Urban1:CensusTract36055012401,0,0,0,0,2.4749591367555966e-4,2.4749591367555966e-4,0,0,2.4749591367555966e-4,2.4749591367555966e-4
Urban1:CensusTract36055012700,0,0,0,0,7.110352695269964e-4,7.110352695269964e-4,0,0,7.110352695269964e-4,7.110352695269964e-4
Urban1:CensusTract36055012900,0,0,0,0,6.000289667145489e-4,6.000289667145489e-4,0,0,6.000289667145489e-4,6.000289667145489e-4
Urban1:CensusTract36055013800,0,0,0,0,2.732701815325298e-4,2.732701815325298e-4,0,0,2.732701815325298e-4,2.732701815325298e-4
Urban1:CensusTract36055014001,0,0,0,0,1.8336449448305307e-4,1.8336449448305307e-4,0,0,1.8336449448305307e-4,1.8336449448305307e-4
Urban1:CensusTract36055014504,0,0,0,0,2.2181713451180384e-4,2.2181713451180384e-4,0,0,2.2181713451180384e-4,2.2181713451180384e-4
Urban1:CensusTract36055014901,0,0,0,0,2.2680079846681628e-4,2.2680079846681628e-4,0,0,2.2680079846681628e-4,2.2680079846681628e-4
